release_agency,species,run,brood_year,release_year,first_release_date,last_release_date,mean_release_date,release_stage,rearing_type,avg_weight,avg_length,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,total_release
WDFW,chinook,3,2014,2015,5/27/2015,5/28/2015,147.5,,H,12.59,104,CHAMBERS CR  12.0007,GARRISON HATCHERY,DESCHUTES R  13.0028,WA,SPS,CHAM,48482
WDFW,chinook,3,2014,2015,5/29/2015,5/30/2015,149.5,,H,9.86,96,CHAMBERS CR  12.0007,GARRISON HATCHERY,CHAMBERS CR  12.0007,WA,SPS,CHAM,17892
WDFW,chinook,3,1970,1971,5/21/1971,5/21/1971,141,P,H,3.45,67.91236726,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,29737
WDFW,chinook,3,2014,2015,5/29/2015,5/30/2015,149.5,,H,9.86,96,CHAMBERS CR  12.0007,GARRISON HATCHERY,MINTER CR    15.0048,WA,SPS,CHAM,17792
WDFW,chinook,3,1970,1971,5/21/1971,5/21/1971,141,S,H,4.04,71.49482113,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,30128
WDFW,chinook,5,1970,1971,5/22/1971,5/22/1971,142,S,H,4.97,76.4844003,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,2825
PUYA,chinook,3,1993,1994,3/8/1994,3/8/1994,67,G,H,1.02,45.66894593,CLARKS CR    10.0027,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,22330
PUYA,chinook,3,1993,1994,6/1/1994,6/6/1994,154.5,S,H,11.27,99.85163791,DIRU CR      10.0029,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,222244
PUYA,chinook,3,1993,1994,5/28/1994,5/28/1994,148,S,H,9.93,95.81951457,GIG HARBOR PENS,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,EKPN,10136
PUYA,chinook,3,1993,1994,6/15/1994,6/15/1994,166,S,H,16.51,113.0711118,GIG HARBOR PENS,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,EKPN,7774
WDFW,chinook,3,1954,1955,9/19/1955,9/19/1955,262,S,H,3.77,69.90250658,ELWHA R      18.0272,DUNGENESS HATCHERY,ELWHA R      18.0272,WA,JUAN,ELDU,22800
MIT,chinook,1,1996,1997,2/26/1997,2/26/1997,57,G,H,0.66,42,WHITE R      10.0031,WHITE RIVER HATCHERY,WHITE R      10.0031,WA,MPS,PUYA,17312
MIT,chinook,1,1996,1997,6/25/1997,6/25/1997,176,G,H,1.49,52,CLEARWATER R 10.0080,WHITE RIVER HATCHERY,WHITE R      10.0031,WA,MPS,PUYA,3770
TULA,chinook,3,1996,1997,5/12/1997,5/12/1997,132,G,H,5.47,78.90944996,TULALIP CR   07.0001,BERNIE GOBIN HATCH,MAY CR       07.0943,WA,NPS,SNOH,1900000
WDFW,chinook,1,1954,1956,1/9/1956,1/9/1956,9,S,H,15.63,111.072263,SKAGIT R     03.0176,MARBLEMOUNT HATCHERY,SKAGIT R     03.0176,WA,NPS,SKAGG,11690
SKOK,chinook,3,1995,1996,5/22/1996,5/22/1996,143,G,H,8.41,90.77346869,ENETAI CR    16.0217,ENETAI HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,298816
SKOK,chinook,3,1995,1996,3/6/1996,3/7/1996,66.5,G,H,1.45,51.21135802,SKOKOMISH R  16.0001,ENETAI HATCHERY,ENETAI CR    16.0217,WA,HOOD,SKDO,319665
WDFW,chinook,3,1970,1971,5/25/1971,5/25/1971,145,S,H,4.31,73.01689561,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,135975
WDFW,chinook,3,1970,1971,5/27/1971,5/27/1971,147,S,H,4.53,74.21022016,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,446400
WDFW,chinook,3,1970,1971,6/3/1971,6/3/1971,154,S,H,4.67,74.9493855,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,118534
WDFW,chinook,1,1954,1956,1/20/1956,1/20/1956,20,S,H,13.33,105.4618581,DUNGENESS R  18.0018,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,7140
WDFW,chinook,3,1993,1995,5/3/1995,5/3/1995,123,Y,H,94.49,202,PEALE PASS @ SS PENS,SOUTH SOUND NET PENS,DESCHUTES R  13.0028,WA,SPS,EKPS,61183
SQAX,chinook,3,1995,1996,4/17/1996,4/17/1996,108,G,H,3.24,66.53768633,CAPITOL LK (THUR),ELSON CR HATCHERY,DESCHUTES R  13.0028,WA,SPS,DES,234500
NISQ,chinook,3,1994,1996,4/24/1996,4/26/1996,116,S,H,53.41,165.7222449,CLEAR CR    11.0013C,CLEAR CREEK HATCHERY,MCALLISTER CR11.0324,WA,SPS,NISQ,178900
MIT,chinook,3,1996,1997,3/10/1997,3/10/1997,69,F,H,2.75,63.07816552,GREEN R      09.0001,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,27027
WDFW,chinook,3,2014,2015,5/18/2015,5/18/2015,138,,H,6.04,82,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,176457
WDFW,chinook,3,1970,1971,6/8/1971,6/8/1971,159,S,H,4.53,74.21022016,HOKO R       19.0148,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,475000
WDFW,chinook,1,1989,1991,5/6/1991,5/6/1991,126,S,H,78.2,178,FINCH CR     16.0222,HOODSPORT HATCHERY,BIG QUILCENE 17.0012,WA,HOOD,SKDO,53228
WDFW,chinook,3,1970,1971,6/8/1971,6/8/1971,159,S,H,4.82,75.72494807,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,215072
WDFW,chinook,3,1970,1971,6/9/1971,6/9/1971,160,S,H,4.53,74.21022016,CLALLAM R    19.0129,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,170000
WDFW,chinook,3,1970,1971,6/9/1971,6/9/1971,160,S,H,4.82,75.72494807,CLALLAM R    19.0129,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,159800
WDFW,chinook,3,1970,1971,6/9/1971,6/9/1971,160,S,H,4.92,76.23298848,CLALLAM R    19.0129,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,161000
WDFW,chinook,3,1970,1971,6/9/1971,6/9/1971,160,S,H,5.52,79.14360206,SEKIU R      19.0203,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,139400
WDFW,chinook,3,1970,1971,6/9/1971,6/9/1971,160,S,H,5.52,79.14360206,CLALLAM R    19.0129,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,123000
WDFW,chinook,3,1980,1982,2/22/1982,2/22/1982,53,S,H,37.79,148.0664899,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,122300
WDFW,chinook,3,1992,1993,7/13/1993,7/13/1993,194,S,H,9.25,93.63154995,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,701500
PUYA,chinook,3,1990,1991,6/5/1991,6/5/1991,156,G,H,7.95,88,CLARKS CR    10.0027,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,24282
WDFW,chinook,3,1970,1971,6/18/1971,6/18/1971,169,S,H,3.77,69.90250658,CLARK CR     03.1421,MARBLEMOUNT HATCHERY,CLARK CR     03.1421,WA,NPS,UPSK,4826280
TULA,chinook,3,1993,1994,5/11/1994,5/11/1994,131,G,H,5.68,79.8834108,TULALIP CR   07.0001,BERNIE GOBIN HATCH,GLENWOOD SPRINGS,WA,NPS,SNOH,1280000
WDFW,chinook,3,1969,1970,5/28/1970,5/28/1970,148,S,H,5.66,79.79170965,PURDY CR     16.0005,GEORGE ADAMS HATCHERY,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,1798300
WDFW,chinook,3,1970,1971,6/18/1971,6/18/1971,169,S,H,4.49,73.99620565,CLARK CR     03.1421,MARBLEMOUNT HATCHERY,CLARK CR     03.1421,WA,NPS,UPSK,74135
WDFW,chinook,3,1970,1971,6/18/1971,6/18/1971,169,P,H,3.21,66.3364414,CAPITOL LK (THUR),CAPITOL LK REARING,DESCHUTES R  13.0028,WA,SPS,DES,5.00E+06
TULA,chinook,3,1977,1978,6/12/1978,6/12/1978,163,G,H,5.03,76.78385305,TULALIP CR   07.0001,BERNIE GOBIN HATCH,MAY CR       07.0943,WA,NPS,SNOH,950000
SKOK,chinook,3,1988,1989,3/10/1989,3/10/1989,69,G,H,1.65,53.41203796,SKOKOMISH-SF 16.0011,ENETAI HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,57467
SKOK,chinook,3,1989,1990,3/26/1990,3/26/1990,85,G,H,1.9,55.92296549,VANCE CR     16.0013,ENETAI HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,34225
PUYA,chinook,3,1991,1992,5/1/1992,5/1/1992,122,G,H,9,92.79989957,CLARKS CR    10.0027,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,11038
PUYA,chinook,3,1991,1992,5/1/1992,5/1/1992,122,G,H,8.57,91.33224443,CLARKS CR    10.0027,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,10421
PUYA,chinook,3,1979,1980,4/7/1980,4/7/1980,98,G,H,0.97,44.92758381,HYLEBOS CR   10.0006,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,4148
PUYA,chinook,3,1979,1980,4/7/1980,4/7/1980,98,G,H,0.97,44.92758381,SWAN CR      10.0023,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,22279
PUYA,chinook,3,1979,1980,4/7/1980,4/7/1980,98,G,H,0.97,44.92758381,WAPATO CR    10.0017,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,10964
PUYA,chinook,3,1979,1980,4/7/1980,4/7/1980,98,G,H,1,45.37540781,CANYON FALLS 10.0410,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,28193
PUYA,chinook,3,1979,1980,4/7/1980,4/7/1980,98,G,H,1,45.37540781,FENNEL CR    10.0406,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,20884
PUYA,chinook,3,1979,1980,4/8/1980,4/8/1980,99,G,H,1,45.37540781,KAPOWSIN CR  10.0600,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,19431
PUYA,chinook,3,1979,1980,4/8/1980,4/8/1980,99,G,H,1,45.37540781,S PRAIRIE CR 10.0429,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,37273
PUYA,chinook,3,1979,1980,4/8/1980,4/8/1980,99,G,H,0.97,44.92758381,HYLEBOS CR   10.0006,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,19947
PUYA,chinook,3,1979,1980,4/8/1980,4/8/1980,99,G,H,0.97,44.92758381,DIRU CR      10.0029,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,9340
PUYA,chinook,3,1979,1980,4/8/1980,4/8/1980,99,G,H,0.97,44.92758381,DIRU CR      10.0029,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,1249
TULA,chinook,3,1979,1980,6/12/1980,6/12/1980,164,G,H,5.03,76.78385305,TULALIP CR   07.0001,BERNIE GOBIN HATCH,BIG SOOS CR + MAY CR,WA,NPS,SNOH,500592
SUQ,chinook,3,1996,1997,5/1/1997,5/14/1997,127.5,S,H,6.31,82.66688378,DOGFISH CR   15.0285,WEBSTER'S HATCHERY,GROVERS CR   15.0299,WA,MPS,EKPN,152498
SUQ,chinook,3,1996,1997,4/14/1997,4/29/1997,111.5,S,H,6.05,81.54194513,CLEAR CR     15.0249,CLEAR CR HATCHERY-15,GROVERS CR   15.0299,WA,MPS,EKPN,49956
MIT,chinook,3,1992,1993,4/9/1993,4/9/1993,99,G,H,1.59,55,COUGAR CR    09.0232,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,15444
MIT,chinook,3,1992,1993,4/9/1993,4/9/1993,99,G,H,1.59,55,INTAKE CR    09.0328,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,18590
COOP,chinook,1,1996,1997,5/30/1997,5/30/1997,150,G,H,4.37,72,CLEARWATER R RRNG PD,CLEARWATER R RRNG PD,WHITE R      10.0031,WA,MPS,PUYA,149980
COOP,chinook,1,1996,1997,5/1/1997,5/1/1997,121,G,H,2.38,58,UNNAMED CR   10.0086,CRIPPLE CR REARNG PD,WHITE R      10.0031,WA,MPS,PUYA,68000
WDFW,chinook,3,2014,2015,5/12/2015,5/12/2015,132,,H,5.81,77,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,229660
WDFW,chinook,3,2014,2015,6/1/2015,6/1/2015,152,,H,4.77,77,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,254308
WDFW,chinook,3,2014,2015,6/5/2015,6/5/2015,156,,H,4.62,77,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,259245
WDFW,chinook,3,2014,2015,5/18/2015,5/22/2015,140,,H,5.71,77,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,751585
LUMMI,chinook,3,2008,2009,5/4/2009,5/6/2009,125,G,H,3.78,69.96282967,BERTRAND CR  01.0201,LUMMI SEA PONDS,SAMISH R     03.0005,WA,NOWA,NOOK,384000
SUQ,chinook,3,1995,1997,4/25/1997,5/15/1997,125,S,H,64.86,176.5423294,GORST CR     15.0216,GORST CR REAR.POND-1,GEORGE ADAMS (PURDY),WA,MPS,EKPN,81140
SUQ,chinook,3,1996,1997,4/30/1997,5/15/1997,127.5,S,H,6.98,85.42844651,GORST CR     15.0216,GORST CR REAR.POND-1,GROVERS CR   15.0299,WA,MPS,EKPN,1009498
SUQ,chinook,3,2014,2015,5/29/2015,5/29/2015,149,G,H,NA,NA,GORST CR REAR.POND-2,GORST CR REARING PND,GROVERS CR   15.0299,WA,MPS,EKPN,980000
SUQ,chinook,3,2014,2015,5/28/2015,5/28/2015,148,G,H,4.4,73.50992804,GORST CR REAR.POND-1,GORST CR REARING PND,MINTER CR    15.0048,WA,MPS,EKPN,920000
MIT,chinook,3,1990,1991,2/25/1991,2/25/1991,56,G,H,1.01,45,GALE CR      09.0216,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,50000
MIT,chinook,3,1990,1991,2/25/1991,2/25/1991,56,G,H,1.01,45,SMAY CR      09.0236,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,50000
MIT,chinook,3,1990,1991,3/12/1991,3/12/1991,71,G,H,0.76,45,GREEN R      09.0001,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,127374
SQAX,chinook,3,1996,1997,4/16/1997,4/16/1997,106,G,H,2.6,61.93654818,CAPITOL LK (THUR),ELSON CR HATCHERY,DESCHUTES R  13.0028,WA,SPS,DES,471103
NISQ,chinook,3,2009,2010,5/10/2010,5/14/2010,132,S,H,8.25,90.20747713,KALAMA CR    11.0017,KALAMA CR HATCHERY,KALAMA CR    11.0017,WA,SPS,NISQ,592774
WDFW,chinook,3,1956,1957,6/20/1957,6/20/1957,171,G,H,2.12,57.95411173,SHILSHOLE-N LK WA10B,ISSAQUAH HATCHERY,BIG SOOS CR  09.0072,WA,MPS,LAKW,76041
WDFW,chinook,3,1956,1957,3/15/1957,3/15/1957,74,F,H,0.53,36.90093464,FINNEY CR    03.0392,MARBLEMOUNT HATCHERY,BIG SOOS CR  09.0072,WA,NPS,UPSK,138908
WDFW,chinook,3,1956,1957,3/18/1957,3/18/1957,77,F,H,0.54,37.12622302,DAY CR(03.0299)TRIBS,MARBLEMOUNT HATCHERY,BIG SOOS CR  09.0072,WA,NPS,LOSK,193520
PUYA,chinook,3,1988,1989,3/21/1989,3/21/1989,80,G,H,1.08,46.52691024,KAPOWSIN CR  10.0600,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,90288
PUYA,chinook,3,1988,1989,3/21/1989,3/21/1989,80,G,H,1.27,49.04805815,S PRAIRIE CR 10.0429,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,90216
PUYA,chinook,3,1988,1989,6/26/1989,6/26/1989,177,G,H,3.22,66.40366343,CLARKS CR    10.0027,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,46953
PUYA,chinook,3,1988,1989,6/27/1989,6/27/1989,178,G,H,3.22,66.40366343,CLARKS CR    10.0027,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,48222
WDFW,chinook,3,1956,1957,3/18/1957,3/18/1957,77,F,H,0.57,37.78564535,DAY CR(03.0299)TRIBS,MARBLEMOUNT HATCHERY,BIG SOOS CR  09.0072,WA,NPS,LOSK,136590
WDFW,chinook,3,1956,1957,3/18/1957,3/18/1957,77,F,H,0.57,37.78564535,DAY CR(03.0299)TRIBS,MARBLEMOUNT HATCHERY,BIG SOOS CR  09.0072,WA,NPS,LOSK,70650
SUQ,chinook,3,1978,1979,6/1/1979,6/1/1979,152,G,H,11.34,100.053169,GROVERS CR   15.0299,GROVERS CR HATCHERY,FINCH CR     16.0222,WA,MPS,EKPN,5016
SUQ,chinook,3,1978,1979,4/16/1979,4/16/1979,106,G,H,2.58,61.78100403,GROVERS CR   15.0299,GROVERS CR HATCHERY,FINCH CR     16.0222,WA,MPS,EKPN,75592
SUQ,chinook,3,1978,1979,4/23/1979,4/23/1979,113,G,H,3.77,69.90250658,GROVERS CR   15.0299,GROVERS CR HATCHERY,FINCH CR     16.0222,WA,MPS,EKPN,96444
SUQ,chinook,3,1978,1979,5/1/1979,5/1/1979,121,G,H,4.73,75.26159818,GROVERS CR   15.0299,GROVERS CR HATCHERY,FINCH CR     16.0222,WA,MPS,EKPN,8621
SUQ,chinook,3,1978,1979,2/14/1979,2/14/1979,45,G,H,0.5,36.2073798,GROVERS CR   15.0299,GROVERS CR HATCHERY,FINCH CR     16.0222,WA,MPS,EKPN,20000
PUYA,chinook,3,1983,1984,6/15/1984,6/15/1984,167,G,H,5.9,80.878044,CLARKS CR    10.0027,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,128436
PUYA,chinook,3,1983,1984,6/19/1984,6/19/1984,171,G,H,5.9,80.878044,DIRU CR      10.0029,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,18249
PUYA,chinook,3,1983,1984,2/2/1984,2/2/1984,33,G,H,0.71,40.58693618,S PRAIRIE CR 10.0429,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,68694
PUYA,chinook,3,1982,1983,5/20/1983,5/20/1983,140,G,H,6.13,81.89149519,CLARKS CR    10.0027,PUYALLUP TRIBAL HATCHERY,BIG SOOS CR  09.0072,WA,MPS,PUYA,115588
PUYA,chinook,3,1990,1991,6/7/1991,6/7/1991,158,G,H,7.95,88,CARBON R     10.0413,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,8493
PUYA,chinook,3,1990,1991,6/7/1991,6/7/1991,158,G,H,7.95,88,DIRU CR      10.0029,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,3021
SUQ,chinook,3,1988,1989,5/9/1989,5/9/1989,129,G,H,11.34,100.053169,CLEAR CR TRB 15.0250,CLEAR CR HATCHERY-15,GROVERS CR   15.0299,WA,MPS,EKPN,52866
SUQ,chinook,3,1988,1989,1/4/1989,5/6/1989,65,G,H,4.41,73.56428823,GORST CR     15.0216,GORST CR REARING PND,GROVERS CR   15.0299,WA,MPS,EKPN,1111586
WDFW,chinook,1,2014,2015,6/1/2015,6/1/2015,152,,H,6.47,89,CASCADE R    03.1411,MARBLEMOUNT HATCHERY,SKAGIT R     03.0176,WA,NPS,UPSK,192902
SUQ,chinook,3,1988,1989,6/8/1989,6/22/1989,166,G,H,5.53,79.19026067,DOGFISH CR   15.0285,GORST CR REARING PND,GROVERS CR   15.0299,WA,MPS,EKPN,1107800
WDFW,chinook,3,1956,1957,5/6/1957,5/6/1957,126,G,H,0.9,43.84506059,SAMISH R     03.0005,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,62500
WDFW,chinook,3,1956,1957,5/7/1957,5/7/1957,127,G,H,1.02,45.66894593,HUTCHINSON C 01.0264,KENDALL CR HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,NOOK,33424
WDFW,chinook,3,1956,1957,5/7/1957,5/7/1957,127,G,H,1.02,45.66894593,HUTCHINSON C 01.0264,KENDALL CR HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,NOOK,67760
WDFW,chinook,3,1956,1957,5/7/1957,5/7/1957,127,G,H,1.5,51.7798252,S PRAIRIE CR 10.0429,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,1.00E+05
PUYA,chinook,3,1990,1991,6/5/1991,6/5/1991,156,G,H,7.95,88,DIRU CR      10.0029,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,2000
PUYA,chinook,1,2013,2014,5/23/2014,5/23/2014,143,G,H,5.47,78.90944996,GREENWATER R 10.0122,PUYALLUP TRIBAL HATCHERY,WHITE R      10.0031,WA,MPS,PUYA,891856
WDFW,chinook,5,1970,1971,8/10/1971,8/10/1971,222,S,H,16.79,113.6920031,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR X COWLITZ R,WA,HOOD,SKDO,26593
WDFW,chinook,5,1970,1971,8/10/1971,8/10/1971,222,S,H,16.79,113.6920031,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR X COWLITZ R,WA,HOOD,SKDO,5156
WDFW,chinook,3,1956,1957,5/24/1957,5/24/1957,144,P,H,3.18,66.13392408,HUTCHINSON C 01.0264,KENDALL CR HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,NOOK,20590
SKOK,chinook,3,1990,1991,5/22/1991,5/22/1991,142,G,H,9.07,93.03431581,ENETAI CR    16.0217,ENETAI HATCHERY,DESCHUTES R  13.0028,WA,HOOD,SKDO,45714
RFEG,chinook,3,1994,1996,5/25/1996,5/25/1996,146,Y,H,62.13,174.0874962,GUEMES CHANNEL (NPRS),ANACORTES NET PENS,SAMISH   (FRIDAY CR),WA,NOWA,BESA,36083
RFEG,chinook,3,1994,1996,1/5/1996,1/5/1996,5,Y,H,31.28,139.2257332,GUEMES CHANNEL (NPRS),ANACORTES NET PENS,SAMISH   (FRIDAY CR),WA,NOWA,BESA,3280
WDFW,chinook,3,2014,2015,5/29/2015,6/1/2015,150.5,,H,4.91,77,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,410798
NISQ,chinook,3,1990,1990,11/15/1990,11/16/1990,319.5,E,H,0.38,33.11210612,CABIN CR     11.0015,KALAMA CR HATCHERY,KALAMA CR    11.0017,WA,SPS,NISQ,50000
NISQ,chinook,3,1990,1991,4/15/1991,6/23/1991,139.5,G,H,4.53,74.21022016,OHOP CR      11.0086,KALAMA CR HATCHERY,KALAMA CR    11.0017,WA,SPS,NISQ,12000
NISQ,chinook,3,1990,1991,5/16/1991,7/1/1991,159,G,H,7.57,87.71578355,SCHORNO CR   11.0055,KALAMA CR HATCHERY,DESCHUTES R  13.0028,WA,SPS,NISQ,850000
SKOK,chinook,3,1991,1992,3/2/1992,3/2/1992,62,G,H,1.63,53.20035357,SWIFT CR     16.0012,ENETAI HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,124161
SKOK,chinook,3,1991,1992,3/3/1992,3/3/1992,63,G,H,1.63,53.20035357,SKOKOMISH-SF 16.0011,ENETAI HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,44758
SKOK,chinook,3,1991,1992,3/3/1992,3/3/1992,63,G,H,1.63,53.20035357,SKOKOMISH R  16.0001,ENETAI HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,10703
MIT,chinook,3,1990,1991,3/13/1991,3/13/1991,72,G,H,0.76,45,GREEN R      09.0001,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,122889
MIT,chinook,3,1990,1991,3/12/1991,3/12/1991,71,G,H,0.76,45,GREEN R      09.0001,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,123038
MIT,chinook,3,1990,1991,3/12/1991,3/12/1991,71,G,H,0.76,45,GREEN R      09.0001,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,126626
PUYA,chinook,3,1994,1995,1/24/1995,1/24/1995,24,G,H,1.06,45,DIRU CR      10.0029,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,128590
PUYA,chinook,3,1994,1995,2/8/1995,2/8/1995,39,G,H,1.52,55,DIRU CR      10.0029,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,5980
PUYA,chinook,3,1994,1995,2/9/1995,2/9/1995,40,G,H,2.21,60,CLARKS CR    10.0027,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,110905
PUYA,chinook,3,1994,1995,2/9/1995,2/9/1995,40,G,H,2.58,63,CLARKS CR    10.0027,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,62788
PUYA,chinook,3,1994,1995,5/22/1995,5/22/1995,142,G,H,12.75,104,DIRU CR      10.0029,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,105000
PUYA,chinook,3,2003,2004,5/24/2004,5/24/2004,145,G,H,6.13,81.89149519,HYLEBOS CR   10.0006,CLARKS CRK HATCHERY,DIRU CR      10.0029,WA,MPS,PUYA,11100
PUYA,chinook,3,2003,2004,7/14/2004,7/14/2004,196,G,H,19.98,117,CLARKS CRK HATCHERY,CLARKS CRK HATCHERY,DIRU CR      10.0029,WA,MPS,PUYA,40750
PUYA,chinook,3,2003,2004,6/2/2004,6/7/2004,156.5,G,H,6.48,85,COWSKULL ACCLIM POND,COWSKULL ACCLIM POND,DIRU CR      10.0029,WA,MPS,PUYA,103200
SUQ,chinook,3,1988,1989,5/4/1989,5/4/1989,124,G,H,5.03,76.78385305,DOGFISH CR   15.0285,WEBSTER'S HATCHERY,GROVERS CR   15.0299,WA,MPS,EKPN,257850
